Number,Course Title,Year,Term,GPA,Total,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,YearTerm
125,Intro to Computer Science,2017,sp,3.2397180451127814,532,77,141,61,30,68,40,36,36,29,6,4,1,3,2017-sp
125,Intro to Computer Science,2018,fa,3.6347455295735895,727,143,389,53,34,32,19,8,7,8,0,14,0,20,2018-fa
125,Intro to Computer Science,2018,sp,3.4367070217917672,413,56,169,40,43,33,19,16,10,8,0,9,0,10,2018-sp
126,Software Design Studio,2016,fa,3.754705882352942,34,4,23,0,3,1,1,1,0,1,0,0,0,0,2016-fa
126,Software Design Studio,2017,fa,3.3305405405405404,111,22,23,18,10,18,3,6,5,2,0,1,0,3,2017-fa
126,Software Design Studio,2017,sp,3.3132183908045967,261,36,47,58,47,20,20,10,6,6,3,0,1,7,2017-sp
126,Software Design Studio,2018,fa,3.4701818181818185,110,6,51,23,9,8,4,2,0,0,0,0,0,7,2018-fa
126,Software Design Studio,2018,sp,3.523053435114504,262,54,92,42,34,13,8,4,1,0,0,0,0,14,2018-sp
173,Discrete Structures,2010,fa,2.4106666666666667,165,5,9,23,16,13,18,17,8,19,11,7,12,7,2010-fa
173,Discrete Structures,2010,sp,2.58939226519337,181,14,16,13,18,15,18,20,24,18,10,8,3,4,2010-sp
173,Discrete Structures,2011,fa,2.7344162436548225,197,14,25,16,29,22,17,14,17,15,8,9,7,4,2011-fa
173,Discrete Structures,2011,sp,2.4190592334494774,287,12,30,21,37,28,18,30,26,20,15,16,4,30,2011-sp
173,Discrete Structures,2012,fa,2.7603089887640446,356,20,46,34,42,51,32,33,31,21,18,13,7,8,2012-fa
173,Discrete Structures,2012,sp,2.9676666666666667,30,1,0,8,5,2,8,4,0,1,0,0,1,0,2012-sp
173,Discrete Structures,2013,fa,2.7503746397694524,347,19,46,30,46,46,33,30,30,30,9,9,6,13,2013-fa
173,Discrete Structures,2013,sp,2.896605744125327,383,19,57,51,48,58,37,31,30,14,11,10,8,9,2013-sp
173,Discrete Structures,2014,fa,2.9275,464,19,80,65,62,78,36,29,25,11,23,14,10,12,2014-fa
173,Discrete Structures,2014,sp,2.8659232613908867,417,36,42,54,48,75,40,30,34,15,12,9,8,14,2014-sp
173,Discrete Structures,2015,fa,3.111015625,512,41,86,88,63,73,53,36,26,16,11,11,5,3,2015-fa
173,Discrete Structures,2015,sp,3.1396590909090913,528,17,103,103,89,80,34,31,22,15,14,10,4,6,2015-sp
173,Discrete Structures,2016,fa,3.01579797979798,495,21,79,81,66,71,59,33,38,12,14,9,7,5,2016-fa
173,Discrete Structures,2016,sp,3.0984031936127745,501,37,112,59,83,74,35,27,19,8,5,25,3,14,2016-sp
173,Discrete Structures,2017,fa,3.035402298850575,522,23,91,81,80,73,57,32,37,13,4,12,9,10,2017-fa
173,Discrete Structures,2017,sp,3.1609187279151945,566,39,135,82,74,76,38,33,45,15,9,9,5,6,2017-sp
173,Discrete Structures,2018,fa,3.1497567567567564,370,56,80,42,37,46,33,23,13,10,7,9,5,9,2018-fa
173,Discrete Structures,2018,sp,3.0814538310412574,509,47,101,74,57,62,45,36,29,19,14,12,7,6,2018-sp
196,Freshman Honors,2010,fa,3.2857142857142856,77,37,12,5,5,0,2,3,2,1,0,4,0,6,2010-fa
196,Freshman Honors,2010,sp,3.9166666666666665,48,0,47,0,0,0,0,0,0,0,0,0,0,1,2010-sp
196,Freshman Honors,2011,fa,3.7745161290322584,62,8,38,10,4,0,0,0,0,0,0,0,0,2,2011-fa
196,Freshman Honors,2011,sp,3.667297297297297,37,2,19,9,2,3,0,0,1,0,0,1,0,0,2011-sp
196,Freshman Honors,2012,fa,3.699230769230769,52,9,27,10,3,0,0,0,0,1,0,0,0,2,2012-fa
196,Freshman Honors,2013,fa,3.9718309859154934,71,11,58,0,0,2,0,0,0,0,0,0,0,0,2013-fa
196,Freshman Honors,2013,sp,3.4630645161290317,62,6,17,23,9,0,1,2,0,0,0,1,0,3,2013-sp
196,Freshman Honors,2014,fa,3.8723270440251576,159,32,97,14,7,4,4,1,0,0,0,0,0,0,2014-fa
196,Freshman Honors,2014,sp,3.808796296296297,108,29,64,4,2,2,1,1,1,3,0,0,0,1,2014-sp
196,Freshman Honors,2015,fa,3.783313609467456,169,70,67,14,1,6,2,1,5,0,0,1,0,2,2015-fa
196,Freshman Honors,2015,sp,3.7870121951219513,164,29,80,29,12,8,4,1,0,1,0,0,0,0,2015-sp
196,Freshman Honors,2016,fa,3.87556338028169,142,27,104,0,2,3,1,0,4,0,0,0,0,1,2016-fa
196,Freshman Honors,2016,sp,3.6725641025641034,117,30,45,17,11,9,0,0,1,1,0,0,0,3,2016-sp
196,Freshman Honors,2017,fa,3.7336923076923076,195,7,119,36,15,9,1,3,1,2,0,0,0,2,2017-fa
196,Freshman Honors,2017,sp,3.6607272727272733,55,4,25,11,8,2,2,3,0,0,0,0,0,0,2017-sp
196,Freshman Honors,2018,fa,3.710258620689655,116,6,61,27,11,3,2,1,5,0,0,0,0,0,2018-fa
196,Freshman Honors,2018,sp,3.72984375,64,5,31,16,6,2,3,0,1,0,0,0,0,0,2018-sp
210,Ethical & Professional Issues,2010,fa,3.852631578947368,95,25,59,2,3,2,1,0,2,0,0,0,0,1,2010-fa
210,Ethical & Professional Issues,2010,sp,3.6065454545454543,55,0,25,17,6,1,0,3,3,0,0,0,0,0,2010-sp
