YearTerm,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Instructor,Year,Total,Average A,GPA,Term
2016-fa,173,Discrete Structures,21,79,81,66,71,59,33,38,12,14,9,7,5,"Fleck, Margaret M",2016,495,20.2020202020202,3.0157979797979797,fa
2016-sp,173,Discrete Structures,37,112,59,83,74,35,27,19,8,5,25,3,14,"Fleck, Margaret M",2016,501,29.740518962075846,3.098403193612775,sp
2017-fa,173,Discrete Structures,23,91,81,80,73,57,32,37,13,4,12,9,10,"Fleck, Margaret M",2017,522,21.839080459770116,3.035402298850575,fa
2017-sp,173,Discrete Structures,39,135,82,74,76,38,33,45,15,9,9,5,6,"Fleck, Margaret M",2017,566,30.742049469964666,3.1609187279151945,sp
2018-fa,173,Discrete Structures,56,80,42,37,46,33,23,13,10,7,9,5,9,"Warnow, Tandy",2018,370,36.75675675675676,3.1497567567567564,fa
2014-sp,173,Discrete Structures,36,42,54,48,75,40,30,34,15,12,9,8,14,"Fleck, Margaret M",2014,417,18.705035971223023,2.865923261390887,sp
2013-sp,196,Freshman Honors,6,17,23,9,0,1,2,0,0,0,1,0,3,"Angrave, Lawrence C",2013,62,37.096774193548384,3.463064516129032,sp
2013-fa,196,Freshman Honors,11,58,0,0,2,0,0,0,0,0,0,0,0,"Angrave, Lawrence C",2013,71,97.1830985915493,3.971830985915493,fa
2012-fa,196,Freshman Honors,9,27,10,3,0,0,0,0,1,0,0,0,2,"Angrave, Lawrence C",2012,52,69.23076923076923,3.699230769230769,fa
2011-sp,196,Freshman Honors,2,19,9,2,3,0,0,1,0,0,1,0,0,"Fleck, Margaret M",2011,37,56.75675675675676,3.667297297297297,sp
2011-fa,196,Freshman Honors,8,38,10,4,0,0,0,0,0,0,0,0,2,"Angrave, Lawrence C",2011,62,74.19354838709677,3.774516129032258,fa
2010-sp,196,Freshman Honors,0,47,0,0,0,0,0,0,0,0,0,0,1,"Gambill, Thomas N",2010,48,97.91666666666666,3.9166666666666665,sp
2010-fa,196,Freshman Honors,37,12,5,5,0,2,3,2,1,0,4,0,6,"Angrave, Lawrence C",2010,77,63.63636363636363,3.2857142857142856,fa
2017-fa,196,Freshman Honors,7,119,36,15,9,1,3,1,2,0,0,0,2,"Challen, Geoffrey W",2017,195,64.61538461538461,3.733692307692308,fa
2014-fa,196,Freshman Honors,32,97,14,7,4,4,1,0,0,0,0,0,0,"Chapman, William L",2014,159,81.13207547169812,3.8723270440251576,fa
2015-sp,196,Freshman Honors,29,80,29,12,8,4,1,0,1,0,0,0,0,"Chapman, William L",2015,164,66.46341463414635,3.787012195121951,sp
2015-fa,196,Freshman Honors,70,67,14,1,6,2,1,5,0,0,1,0,2,"Chapman, William L",2015,169,81.06508875739645,3.783313609467456,fa
2018-sp,196,Freshman Honors,5,31,16,6,2,3,0,1,0,0,0,0,0,"Challen, Geoffrey W",2018,64,56.25,3.7298437499999997,sp
2018-fa,196,Freshman Honors,6,61,27,11,3,2,1,5,0,0,0,0,0,"Challen, Geoffrey W",2018,116,57.758620689655174,3.710258620689655,fa
2014-sp,196,Freshman Honors,29,64,4,2,2,1,1,1,3,0,0,0,1,"Angrave, Lawrence C",2014,108,86.11111111111111,3.8087962962962965,sp
