YearTerm,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Instructor,Year,Total,Average A,GPA,Term
2018-sp,296,Honors Course,13,13,5,2,1,0,0,1,0,0,0,0,4,"Fagen-Ulmschnei, Wade A",2018,39,66.66666666666666,3.436153846153846,sp
2015-fa,296,Honors Course,7,9,6,1,2,1,0,0,0,0,0,0,0,"Zilles, Craig",2015,26,61.53846153846154,3.77,fa
2016-sp,296,Honors Course,11,47,13,10,4,2,0,0,0,0,0,0,0,"Heeren, Cinda",2016,87,66.66666666666666,3.7971264367816087,sp
2017-fa,296,Honors Course,4,104,0,2,6,0,0,9,0,0,0,0,3,"Fagen-Ulmschnei, Wade A",2017,128,84.375,3.70828125,fa
2017-sp,296,Honors Course,42,55,5,4,0,0,0,1,0,0,0,0,0,"Heeren, Cinda",2017,107,90.65420560747664,3.9408411214953274,sp
2018-fa,296,Honors Course,0,72,2,0,3,2,0,2,0,0,0,0,1,"Fagen-Ulmschnei, Wade A",2018,82,87.8048780487805,3.825365853658536,fa
2016-fa,296,Honors Course,7,83,14,4,0,1,2,3,1,1,0,0,1,"Heeren, Cinda",2016,117,76.92307692307693,3.7694871794871796,fa
2015-sp,296,Honors Course,8,52,7,3,13,1,0,4,0,0,2,0,4,"Heeren, Cinda",2015,94,63.829787234042556,3.4824468085106384,sp
2014-sp,357,Numerical Methods I,5,19,23,26,35,27,19,16,9,8,3,6,2,"Semeraro, Bart D",2014,198,12.121212121212121,2.793131313131313,sp
2010-fa,357,Numerical Methods I,8,23,0,14,7,0,5,14,12,0,15,0,6,"Hirani, Anil N",2010,104,29.807692307692307,2.5606730769230768,fa
2010-sp,357,Numerical Methods I,2,56,25,14,20,12,2,5,3,0,1,2,4,"Gropp, William D",2010,146,39.726027397260275,3.317945205479452,sp
2011-fa,357,Numerical Methods I,9,37,18,26,25,11,19,7,9,0,2,0,2,"Yershova, Ganna",2011,165,27.878787878787882,3.129151515151515,fa
2011-sp,357,Numerical Methods I,14,28,25,31,28,5,15,10,4,2,5,0,1,"Gambill, Thomas N",2011,168,25.0,3.1524999999999994,sp
2012-fa,357,Numerical Methods I,2,30,13,28,18,12,3,12,4,1,6,0,3,"Hirani, Anil N",2012,132,24.242424242424242,3.030227272727273,fa
2013-fa,357,Numerical Methods I,33,28,28,22,30,11,10,11,3,1,4,2,3,"Semeraro, Bart D",2013,186,32.795698924731184,3.2062903225806454,fa
2014-fa,357,Numerical Methods I,7,61,23,20,30,20,11,19,4,13,7,3,5,"Kloeckner, Andreas P",2014,223,30.493273542600896,2.9731838565022417,fa
2015-sp,357,Numerical Methods I,7,93,23,35,49,18,29,35,13,12,9,3,4,"Shaffer, Eric G",2015,330,30.303030303030305,2.9765757575757577,sp
2015-fa,357,Numerical Methods I,0,51,24,32,33,14,17,8,7,6,3,3,0,"Olson, Luke",2015,198,25.757575757575758,3.1076262626262627,fa
2016-fa,357,Numerical Methods I,12,113,20,18,15,12,9,11,7,11,12,4,9,"Kloeckner, Andreas P",2016,253,49.40711462450593,3.1397233201581023,fa
2016-sp,357,Numerical Methods I,12,25,30,24,50,25,26,31,19,7,10,7,7,"Heath, Michael T",2016,273,13.553113553113553,2.6852747252747253,sp
2017-fa,357,Numerical Methods I,49,86,43,48,55,30,31,36,13,12,11,5,14,"Olson, Luke",2017,433,31.177829099307157,3.0,fa
2017-sp,357,Numerical Methods I,59,47,52,35,31,34,32,25,15,8,8,5,12,"Kloeckner, Andreas P",2017,363,29.201101928374655,2.993856749311295,sp
2018-fa,357,Numerical Methods I,39,100,44,35,50,30,19,27,20,7,8,4,9,"Silva, Mariana T",2018,392,35.45918367346938,3.101505102040816,fa
2018-sp,357,Numerical Methods I,29,65,70,50,48,22,32,19,12,9,8,9,7,"Silva, Mariana T",2018,380,24.736842105263158,3.0545789473684213,sp
2013-sp,357,Numerical Methods I,2,91,42,7,22,11,4,6,3,0,4,0,3,"Shaffer, Eric G",2013,195,47.69230769230769,3.462307692307693,sp
2016-fa,361,Prob & Stat for Computer Sci,12,16,7,14,6,1,4,2,2,0,1,0,1,"Peng, Jian",2016,66,42.42424242424242,3.373333333333333,fa
2017-fa,361,Prob & Stat for Computer Sci,4,20,5,2,0,0,0,0,1,0,0,0,3,"Barber, Richard C",2017,35,68.57142857142857,3.505142857142857,fa
2017-sp,361,Prob & Stat for Computer Sci,8,21,14,3,6,6,1,1,0,0,2,1,1,"Sinha, Saurabh",2017,64,45.3125,3.4123437500000002,sp
2018-fa,361,Prob & Stat for Computer Sci,9,20,10,4,7,5,3,2,3,4,4,1,5,"Varodayan, David",2018,77,37.66233766233766,2.939740259740259,fa
2018-sp,361,Prob & Stat for Computer Sci,10,32,7,4,9,1,0,7,1,1,2,0,6,"Barber, Richard C",2018,80,52.5,3.1959999999999997,sp
2010-fa,373,Theory of Computation,8,16,21,21,31,21,15,6,6,5,1,0,0,"Viswanathan, Mahesh",2010,151,15.894039735099339,3.024437086092715,fa
2010-sp,373,Theory of Computation,8,18,6,9,15,12,9,14,13,7,4,11,0,"Parthasarathy, Madhusudan",2010,126,20.634920634920633,2.5745238095238094,sp
2011-fa,373,Theory of Computation,6,17,16,7,16,17,17,21,10,4,2,2,7,"Parthasarathy, Madhusudan",2011,142,16.19718309859155,2.636549295774648,fa
2011-sp,373,Theory of Computation,5,19,6,10,19,13,7,14,5,0,6,0,1,"Lavalle, Steven M",2011,105,22.857142857142858,2.873238095238096,sp
2012-fa,373,Theory of Computation,10,64,22,15,11,7,5,9,25,2,0,0,1,"Viswanathan, Mahesh",2012,171,43.27485380116959,3.2306432748538008,fa
2012-sp,373,Theory of Computation,11,9,1,3,4,1,1,4,2,0,3,0,0,"Cunningham, Ryan M",2012,39,51.28205128205128,3.2051282051282053,sp
2013-fa,373,Theory of Computation,7,51,28,29,23,17,14,11,9,6,0,0,0,"Viswanathan, Mahesh",2013,195,29.743589743589745,3.1966666666666668,fa
2013-sp,373,Theory of Computation,12,60,19,16,16,18,9,19,10,1,0,0,1,"Viswanathan, Mahesh",2013,181,39.77900552486188,3.2269060773480667,sp
2014-sp,373,Theory of Computation,5,26,21,7,15,14,14,24,6,4,3,1,3,"Meseguer, Jose",2014,143,21.678321678321677,2.8418881118881116,sp
2017-sp,374,Intro to Algs & Models of Comp,20,51,28,46,67,45,46,32,38,17,7,5,6,"Chekuri, Chandra S",2017,408,17.401960784313726,2.766397058823529,sp
2016-fa,374,Intro to Algs & Models of Comp,14,45,27,31,38,42,53,40,33,38,17,5,14,"Erickson, Jeff G",2016,397,14.86146095717884,2.5036523929471035,fa
2018-fa,374,Intro to Algs & Models of Comp,21,65,47,45,38,50,47,38,37,28,14,7,14,"Chekuri, Chandra S",2018,451,19.06873614190687,2.69860310421286,fa
2018-sp,374,Intro to Algs & Models of Comp,17,86,46,62,37,61,34,57,40,59,23,9,7,"Erickson, Jeff G",2018,538,19.144981412639407,2.6555204460966544,sp
2017-fa,374,Intro to Algs & Models of Comp,7,41,33,38,35,50,65,51,33,33,8,6,8,"Har-Peled, Sariel",2017,408,11.76470588235294,2.5554411764705884,fa
2013-sp,411,Database Systems,16,87,12,15,43,0,2,8,0,0,0,0,0,"Cunningham, Ryan M",2013,183,56.284153005464475,3.5827868852459015,sp
2010-fa,411,Database Systems,14,30,14,11,20,10,10,9,7,0,0,0,0,"Sinha, Saurabh",2010,125,35.199999999999996,3.2296,fa
2010-sp,411,Database Systems,5,16,10,26,16,6,15,9,2,1,1,1,0,"Chang, Kevin C",2010,108,19.444444444444446,3.061018518518518,sp
2011-fa,411,Database Systems,4,34,27,25,23,19,16,7,4,4,1,3,1,"Zhao, Peixiang",2011,168,22.61904761904762,3.0973809523809526,fa
2011-sp,411,Database Systems,8,26,36,21,36,33,7,8,4,1,1,1,2,"Chang, Kevin C",2011,184,18.478260869565215,3.13125,sp
2012-fa,411,Database Systems,20,44,22,16,38,18,4,11,6,2,4,2,1,"Sinha, Saurabh",2012,188,34.04255319148936,3.199042553191489,fa
2012-sp,411,Database Systems,1,8,11,2,3,1,1,1,0,0,0,0,0,"Weninger, Timothy E",2012,28,32.142857142857146,3.536785714285714,sp
2014-fa,411,Database Systems,19,40,21,21,41,24,6,12,7,1,1,0,0,"Sinha, Saurabh",2014,193,30.569948186528496,3.2232124352331613,fa
2013-fa,411,Database Systems,9,26,18,12,32,31,14,20,18,2,1,6,5,"Chang, Kevin C",2013,194,18.04123711340206,2.7585051546391743,fa
2016-fa,411,Database Systems,16,23,48,17,30,26,6,6,13,5,4,5,7,"Chang, Kevin C",2016,206,18.932038834951456,2.9605825242718447,fa
2015-sp,411,Database Systems,17,20,50,25,27,26,7,8,9,4,1,1,2,"Chang, Kevin C",2015,197,18.781725888324875,3.1446700507614214,sp
2014-sp,411,Database Systems,15,82,27,11,46,8,3,2,0,0,1,0,0,"Cunningham, Ryan M",2014,195,49.743589743589745,3.5644615384615386,sp
2016-sp,411,Database Systems,6,28,62,56,25,13,0,0,0,0,0,0,0,"Parameswaran, Aditya G",2016,190,17.894736842105264,3.4722631578947367,sp
2017-fa,411,Database Systems,7,19,15,14,19,20,10,6,7,5,3,6,11,"Chang, Kevin C",2017,142,18.30985915492958,2.6530281690140844,fa
2017-sp,411,Database Systems,13,21,66,63,22,7,0,0,0,0,0,0,0,"Parameswaran, Aditya G",2017,192,17.708333333333336,3.5036458333333336,sp
2018-fa,411,Database Systems,63,25,43,26,21,5,3,2,3,3,1,0,0,"Alawini, Abdussalam A",2018,195,45.12820512820513,3.5575897435897437,fa
2018-sp,411,Database Systems,10,37,93,61,38,15,2,3,1,1,0,0,5,"Chang, Kevin C",2018,266,17.669172932330827,3.3840225563909767,sp
2015-fa,411,Database Systems,31,65,31,12,30,17,2,3,1,0,0,0,2,"Sinha, Saurabh",2015,194,49.48453608247423,3.533247422680412,fa
2010-fa,412,Introduction to Data Mining,10,20,20,12,15,8,1,2,1,0,0,0,5,"Han, Jiawei",2010,94,31.914893617021278,3.273617021276596,fa
2011-fa,412,Introduction to Data Mining,12,43,31,13,6,6,3,4,0,0,0,0,2,"Han, Jiawei",2011,120,45.83333333333333,3.5505833333333334,fa
2012-fa,412,Introduction to Data Mining,12,45,41,21,14,7,10,2,1,0,1,0,4,"Han, Jiawei",2012,158,36.075949367088604,3.4117721518987336,fa
2013-fa,412,Introduction to Data Mining,19,58,44,32,26,30,7,5,3,0,0,0,7,"Han, Jiawei",2013,231,33.33333333333333,3.313679653679654,fa
2014-fa,412,Introduction to Data Mining,15,30,43,14,18,16,7,6,11,2,1,1,10,"Chang, Kevin C",2014,174,25.862068965517242,3.0583908045977,fa
2015-fa,412,Introduction to Data Mining,10,23,36,16,19,25,7,9,18,4,6,2,9,"Chang, Kevin C",2015,184,17.934782608695652,2.8161956521739127,fa
2016-fa,412,Introduction to Data Mining,23,34,31,24,30,19,12,10,4,0,2,0,4,"Han, Jiawei",2016,193,29.533678756476682,3.207564766839378,fa
2016-sp,412,Introduction to Data Mining,5,26,17,4,8,9,1,2,5,0,2,0,2,"Sundaram, Hari",2016,81,38.2716049382716,3.2644444444444445,sp
2017-fa,412,Introduction to Data Mining,13,29,22,24,39,23,4,9,4,1,2,1,8,"Han, Jiawei",2017,179,23.463687150837988,3.0450837988826818,fa
2017-sp,412,Introduction to Data Mining,32,71,47,14,12,5,6,4,0,0,0,0,2,"Han, Jiawei",2017,193,53.36787564766839,3.6395854922279796,sp
2018-fa,412,Introduction to Data Mining,18,54,34,12,18,9,8,5,2,0,0,0,0,"Li, Qi",2018,160,45.0,3.5171875,fa
2018-sp,412,Introduction to Data Mining,25,69,41,21,32,21,18,10,0,0,4,0,6,"Han, Jiawei",2018,247,38.05668016194332,3.297206477732794,sp
2010-fa,418,Interactive Computer Graphics,9,13,8,3,7,6,1,0,0,0,1,1,0,"Hart, John C",2010,49,44.89795918367347,3.436122448979592,fa
2010-sp,418,Interactive Computer Graphics,9,15,7,9,1,4,0,1,1,0,0,0,0,"Hart, John C",2010,47,51.06382978723404,3.5959574468085105,sp
2014-sp,418,Interactive Computer Graphics,10,72,23,37,4,12,7,7,1,0,0,0,5,"Hart, John C",2014,178,46.06741573033708,3.4361797752808987,sp
2011-sp,418,Interactive Computer Graphics,5,17,11,2,14,0,4,0,0,0,1,0,1,"Hart, John C",2011,55,40.0,3.4063636363636363,sp
2012-fa,418,Interactive Computer Graphics,7,17,8,5,11,11,4,7,0,0,0,0,2,"Hart, John C",2012,72,33.33333333333333,3.1624999999999996,fa
2013-fa,418,Interactive Computer Graphics,0,33,5,4,32,3,2,5,1,0,2,0,0,"Hart, John C",2013,87,37.93103448275862,3.287471264367816,fa
2013-sp,418,Interactive Computer Graphics,5,68,1,25,21,8,5,5,0,2,6,0,1,"Hart, John C",2013,147,49.65986394557823,3.3577551020408167,sp
2014-fa,418,Interactive Computer Graphics,0,69,23,13,6,9,4,2,0,0,7,0,3,"Shaffer, Eric G",2014,136,50.73529411764706,3.4268382352941176,fa
2018-sp,418,Interactive Computer Graphics,12,25,14,7,15,10,3,20,0,0,12,0,2,"Shaffer, Eric G",2018,120,30.833333333333336,2.9448333333333334,sp
2015-fa,418,Interactive Computer Graphics,10,47,26,21,22,11,6,7,6,0,3,0,6,"Shaffer, Eric G",2015,165,34.54545454545455,3.2104242424242426,fa
2015-sp,418,Interactive Computer Graphics,12,32,48,31,16,10,3,5,3,1,2,2,5,"Hart, John C",2015,170,25.882352941176475,3.2750588235294122,sp
2016-fa,418,Interactive Computer Graphics,6,28,25,22,24,19,8,9,4,0,11,0,6,"Shaffer, Eric G",2016,162,20.98765432098765,2.9509876543209876,fa
2016-sp,418,Interactive Computer Graphics,18,52,51,13,13,9,4,3,2,1,0,0,1,"Hart, John C",2016,167,41.91616766467065,3.5537724550898213,sp
2017-fa,418,Interactive Computer Graphics,9,54,13,14,16,8,11,5,3,0,6,0,4,"Shaffer, Eric G",2017,143,44.05594405594406,3.233076923076923,fa
2017-sp,418,Interactive Computer Graphics,14,25,23,13,22,19,5,17,3,0,14,0,8,"Shaffer, Eric G",2017,163,23.92638036809816,2.8533128834355828,sp
2018-fa,418,Interactive Computer Graphics,25,25,17,8,6,8,2,3,1,0,0,0,4,"Hart, John C",2018,99,50.505050505050505,3.441616161616162,fa
2011-fa,418,Interactive Computer Graphics,2,17,9,4,4,8,1,3,0,0,2,0,0,"Hart, John C",2011,50,38.0,3.3207999999999998,fa
2013-fa,421,Progrmg Languages & Compilers,5,30,15,16,18,8,11,8,3,2,2,1,4,"Gunter, Elsa",2013,123,28.455284552845526,3.054146341463415,fa
2010-fa,421,Progrmg Languages & Compilers,9,19,7,13,12,12,2,8,4,1,1,1,2,"Gunter, Elsa",2010,91,30.76923076923077,3.0698901098901095,fa
2010-sp,421,Progrmg Languages & Compilers,19,19,2,6,7,6,9,3,3,0,2,0,4,"Kamin, Samuel N",2010,80,47.5,3.129,sp
2011-fa,421,Progrmg Languages & Compilers,7,24,5,12,19,2,7,7,4,1,2,0,1,"Gunter, Elsa",2011,91,34.065934065934066,3.131538461538462,fa
2011-sp,421,Progrmg Languages & Compilers,4,45,11,3,27,4,5,25,6,2,1,0,3,"Kamin, Samuel N",2011,136,36.029411764705884,3.039485294117647,sp
2014-fa,421,Progrmg Languages & Compilers,6,34,9,8,12,12,4,9,3,1,3,2,0,"Gunter, Elsa",2014,103,38.83495145631068,3.162233009708738,fa
2012-sp,421,Progrmg Languages & Compilers,1,4,2,2,1,4,1,2,1,0,0,1,2,"Griffith, Dennis E",2012,21,23.809523809523807,2.6833333333333336,sp
2013-sp,421,Progrmg Languages & Compilers,17,56,8,10,12,7,9,19,2,0,7,0,3,"Kamin, Samuel N",2013,150,48.66666666666667,3.191066666666667,sp
2016-sp,421,Progrmg Languages & Compilers,76,71,25,20,24,6,5,13,4,0,1,0,4,"Beckman, A M",2016,249,59.036144578313255,3.53293172690763,sp
2014-sp,421,Progrmg Languages & Compilers,16,33,23,20,29,11,15,12,8,0,7,2,3,"Rosu, Grigore",2014,179,27.37430167597765,3.03927374301676,sp
2016-fa,421,Progrmg Languages & Compilers,35,37,15,12,28,3,8,16,5,3,3,1,3,"Gunter, Elsa",2016,169,42.60355029585799,3.2051479289940827,fa
2018-sp,421,Progrmg Languages & Compilers,33,125,28,24,28,12,9,7,3,0,8,0,1,"Beckman, A M",2018,278,56.83453237410072,3.520503597122302,sp
2017-fa,421,Progrmg Languages & Compilers,19,142,10,13,23,9,7,9,4,2,3,5,1,"Misailovic, Sasa",2017,247,65.18218623481782,3.510202429149797,fa
2017-sp,421,Progrmg Languages & Compilers,27,136,37,18,20,8,9,9,3,0,12,0,7,"Beckman, A M",2017,286,56.993006993006986,3.4443006993006993,sp
2018-fa,421,Progrmg Languages & Compilers,12,125,10,5,6,6,10,4,3,2,3,4,1,"Misailovic, Sasa",2018,191,71.72774869109948,3.560314136125654,fa
2015-sp,421,Progrmg Languages & Compilers,18,61,22,18,8,16,9,6,1,2,1,2,2,"Agha, Gul A",2015,166,47.59036144578313,3.3918072289156624,sp
2012-fa,421,Progrmg Languages & Compilers,10,14,14,12,15,4,5,8,2,2,2,3,1,"Gunter, Elsa",2012,92,26.08695652173913,3.050869565217391,fa
2014-fa,425,Distributed Systems,11,28,41,26,27,30,4,0,0,0,0,0,1,"Gupta, Indranil",2014,168,23.214285714285715,3.3539880952380954,fa
2013-fa,425,Distributed Systems,11,22,44,18,5,1,0,0,0,0,0,0,0,"Gupta, Indranil",2013,101,32.67326732673268,3.6741584158415845,fa
2012-sp,425,Distributed Systems,3,5,8,1,2,3,2,0,0,0,0,0,0,"Montanari, Mirko",2012,24,33.33333333333333,3.473333333333333,sp
2010-fa,425,Distributed Systems,2,2,13,8,3,11,0,1,0,0,0,0,0,"Gupta, Indranil",2010,40,10.0,3.268,fa
2011-sp,425,Distributed Systems,2,16,5,2,11,3,3,1,0,0,0,0,0,"Vaidya, Nitin H",2011,43,41.86046511627907,3.418837209302325,sp
2011-fa,425,Distributed Systems,6,4,5,3,3,5,1,3,4,2,1,4,2,"Borisov, Nikita",2011,43,23.25581395348837,2.605581395348837,fa
2010-sp,425,Distributed Systems,2,2,2,4,3,5,5,4,5,0,0,0,2,"Nagaraja, Shishir",2010,34,11.76470588235294,2.559117647058823,sp
2013-sp,425,Distributed Systems,7,9,17,6,9,4,2,2,2,1,1,0,4,"Borisov, Nikita",2013,64,25.0,3.0996875000000004,sp
2012-fa,425,Distributed Systems,7,18,22,18,8,3,0,0,0,0,0,0,0,"Gupta, Indranil",2012,76,32.89473684210527,3.588026315789474,fa
2014-sp,425,Distributed Systems,5,17,17,18,17,2,7,4,0,0,2,0,1,"Vaidya, Nitin H",2014,90,24.444444444444443,3.2553333333333327,sp
2017-sp,425,Distributed Systems,11,25,24,20,20,21,17,10,4,6,4,1,5,"Borisov, Nikita",2017,168,21.428571428571427,2.938630952380952,sp
2017-fa,425,Distributed Systems,20,32,58,52,46,26,3,5,1,0,0,0,9,"Gupta, Indranil",2017,252,20.634920634920633,3.254365079365079,fa
2016-sp,425,Distributed Systems,6,35,18,16,47,13,5,14,3,5,0,1,2,"Vaidya, Nitin H",2016,165,24.848484848484848,3.097151515151515,sp
2018-sp,425,Distributed Systems,5,38,40,49,31,26,19,9,1,0,1,1,1,"Vaidya, Nitin H",2018,221,19.457013574660635,3.2126696832579182,sp
2015-sp,425,Distributed Systems,2,26,8,19,22,22,14,11,5,3,0,0,0,"Vaidya, Nitin H",2015,132,21.21212121212121,3.0025000000000004,sp
2015-fa,425,Distributed Systems,20,24,58,61,27,3,2,0,0,0,0,0,1,"Gupta, Indranil",2015,196,22.448979591836736,3.4982653061224487,fa
2016-fa,425,Distributed Systems,17,21,51,45,43,25,2,0,0,0,0,0,2,"Gupta, Indranil",2016,206,18.446601941747574,3.346747572815534,fa
2018-fa,425,Distributed Systems,21,31,107,75,31,7,0,2,1,0,2,0,8,"Gupta, Indranil",2018,285,18.24561403508772,3.40280701754386,fa
2014-fa,438,Communication Networks,8,20,23,11,7,4,3,0,0,0,0,0,0,"Roy Choudhury, Romit",2014,76,36.84210526315789,3.575131578947368,fa
2014-sp,438,Communication Networks,6,13,1,5,12,1,2,16,1,0,5,1,7,"Caesar, Matthew C",2014,70,27.142857142857142,2.5569999999999995,sp
2010-fa,438,Communication Networks,1,10,12,5,8,8,6,2,0,0,0,0,0,"Lumetta, Steven S",2010,52,21.153846153846153,3.231346153846154,fa
2010-sp,438,Communication Networks,5,2,5,2,5,2,2,4,3,0,2,1,4,"Caesar, Matthew C",2010,37,18.91891891891892,2.5321621621621624,sp
2011-sp,438,Communication Networks,2,4,4,6,3,3,0,4,1,1,2,2,3,"Godfrey, Philip B",2011,35,17.142857142857142,2.571714285714286,sp
2012-fa,438,Communication Networks,3,14,9,7,5,10,4,7,0,1,0,1,2,"Vaidya, Nitin H",2012,63,26.984126984126984,3.0374603174603174,fa
2013-fa,438,Communication Networks,2,22,7,2,28,4,4,11,2,1,0,1,0,"Vaidya, Nitin H",2013,84,28.57142857142857,3.091547619047619,fa
2013-sp,438,Communication Networks,4,13,9,3,13,4,1,7,1,1,5,0,8,"Kravets, Robin H",2013,69,24.637681159420293,2.681594202898551,sp
2015-sp,438,Communication Networks,2,27,5,3,13,4,4,7,4,3,2,5,15,"Kravets, Robin H",2015,94,30.851063829787233,2.482553191489362,sp
2016-sp,438,Communication Networks,3,30,3,5,8,6,2,3,1,2,4,4,12,"Kravets, Robin H",2016,83,39.75903614457831,2.666867469879518,sp
2017-fa,438,Communication Networks,7,20,12,9,23,3,5,2,0,0,0,0,0,"Al-Hassanieh, Haitham",2017,81,33.33333333333333,3.390987654320987,fa
2017-sp,438,Communication Networks,2,28,2,4,12,7,3,6,4,1,2,3,9,"Kravets, Robin H",2017,83,36.144578313253014,2.727228915662651,sp
2018-fa,438,Communication Networks,7,17,35,24,13,11,3,1,0,0,0,0,0,"Roy Choudhury, Romit",2018,111,21.62162162162162,3.439009009009009,fa
2015-fa,438,Communication Networks,9,27,21,15,13,0,0,1,1,0,0,0,0,"Roy Choudhury, Romit",2015,87,41.37931034482759,3.605632183908046,fa
2018-sp,438,Communication Networks,0,18,4,2,7,3,2,9,1,1,2,3,12,"Kravets, Robin H",2018,64,28.125,2.3753124999999997,sp
2016-fa,438,Communication Networks,2,11,9,8,7,12,9,8,4,2,1,0,8,"Borisov, Nikita",2016,81,16.049382716049383,2.617530864197531,fa
2013-sp,440,Artificial Intelligence,3,19,7,4,17,7,7,7,8,1,6,2,0,"DeJong, Gerald F",2013,88,25.0,2.83,sp
2010-fa,440,Artificial Intelligence,11,13,2,1,15,4,1,7,0,0,9,0,2,"Dejong, Gerald F",2010,65,36.92307692307693,2.887384615384616,fa
2010-sp,440,Artificial Intelligence,6,9,11,3,11,8,0,3,4,0,2,0,3,"Amir, Eyal",2010,60,25.0,2.9900000000000007,sp
2014-sp,440,Artificial Intelligence,9,19,10,8,35,8,11,19,6,0,2,1,0,"DeJong, Gerald F",2014,128,21.875,2.95328125,sp
2011-sp,440,Artificial Intelligence,2,11,12,16,13,12,10,7,1,4,3,0,1,"Hockenmaier, Julia C",2011,92,14.130434782608695,2.9092391304347824,sp
2012-fa,440,Artificial Intelligence,17,29,13,4,17,5,1,10,3,5,5,1,0,"Lazebnik, Svetlana",2012,110,41.81818181818181,3.173090909090909,fa
2013-fa,440,Artificial Intelligence,21,57,5,9,25,6,0,20,0,1,5,4,2,"Lazebnik, Svetlana",2013,155,50.32258064516129,3.2280645161290322,fa
2014-fa,440,Artificial Intelligence,0,53,0,0,48,0,0,16,0,0,2,0,0,"DeJong, Gerald F",2014,119,44.537815126050425,3.277310924369748,fa
2017-sp,440,Artificial Intelligence,3,52,3,0,54,2,0,49,0,0,3,0,1,"DeJong, Gerald F",2017,167,32.93413173652694,2.990119760479042,sp
2015-fa,440,Artificial Intelligence,30,52,7,5,44,5,2,19,1,3,5,1,4,"Lazebnik, Svetlana",2015,178,46.06741573033708,3.2004494382022464,fa
2016-fa,440,Artificial Intelligence,35,73,8,8,79,4,7,31,1,3,6,3,5,"Lazebnik, Svetlana",2016,263,41.06463878326996,3.146996197718631,fa
2016-sp,440,Artificial Intelligence,11,32,5,0,56,14,0,13,0,0,6,0,3,"DeJong, Gerald F",2016,140,30.714285714285715,3.055214285714286,sp
2017-fa,440,Artificial Intelligence,74,122,19,16,122,16,11,34,3,1,21,3,5,"Lazebnik, Svetlana",2017,447,43.84787472035794,3.2185906040268457,fa
2018-sp,440,Artificial Intelligence,57,107,8,14,68,22,8,11,2,3,8,1,1,"Hasegawa-Johnso, Mark A",2018,310,52.903225806451616,3.3914838709677424,sp
2018-fa,440,Artificial Intelligence,40,53,55,42,29,29,10,7,2,1,2,3,4,"Fleck, Margaret M",2018,277,33.57400722021661,3.336173285198556,fa
2015-sp,440,Artificial Intelligence,18,59,7,7,41,0,0,19,2,0,5,1,9,"Lazebnik, Svetlana",2015,168,45.83333333333333,3.136964285714286,sp
2011-fa,440,Artificial Intelligence,7,14,4,6,14,3,2,10,0,0,3,1,1,"DeJong, Gerald F",2011,65,32.30769230769231,3.0307692307692307,fa
2014-sp,461,Computer Security I,8,10,8,9,22,11,7,6,9,0,1,0,1,"Bobba, Rakesh",2014,92,19.565217391304348,2.946086956521739,sp
2010-fa,461,Computer Security I,3,30,0,4,32,0,4,13,0,0,0,0,0,"Hinrichs, Susan",2010,86,38.372093023255815,3.2167441860465114,fa
2010-sp,461,Computer Security I,0,11,13,9,8,10,11,9,0,0,1,0,0,"Nicol, David M",2010,72,15.277777777777779,3.0140277777777778,sp
2011-fa,461,Computer Security I,1,22,7,10,49,0,4,22,0,0,3,0,0,"Hinrichs, Susan",2011,118,19.491525423728813,3.002627118644068,fa
2012-fa,461,Computer Security I,2,35,1,9,59,0,6,35,0,0,1,0,1,"Hinrichs, Susan",2012,149,24.832214765100673,2.9773154362416108,fa
2013-sp,461,Computer Security I,4,5,16,10,23,5,10,5,2,0,2,0,0,"Nicol, David M",2013,82,10.975609756097562,3.0367073170731707,sp
2014-fa,461,Computer Security I,10,101,24,8,17,7,6,3,0,0,6,0,2,"Cunningham, Ryan M",2014,184,60.32608695652174,3.5564673913043485,fa
2013-fa,461,Computer Security I,9,10,18,12,11,16,10,6,2,1,0,0,0,"Bobba, Rakesh",2013,95,20.0,3.1337894736842102,fa
2015-fa,461,Computer Security I,4,31,10,17,41,7,5,12,8,0,11,0,4,"Bailey, Michael D",2015,150,23.333333333333332,2.9000666666666666,fa
2015-sp,461,Computer Security I,16,24,9,11,22,5,11,13,2,0,10,0,2,"Bailey, Michael D",2015,125,32.0,2.99184,sp
2016-sp,461,Computer Security I,6,28,8,6,43,14,7,20,4,2,2,2,5,"Bailey, Michael D",2016,147,23.12925170068027,2.8619727891156463,sp
2017-fa,461,Computer Security I,23,39,43,44,34,14,12,0,0,0,2,0,3,"Cunningham, Ryan M",2017,214,28.971962616822427,3.3722897196261687,fa
2017-sp,461,Computer Security I,8,31,9,12,51,9,9,10,7,0,8,0,4,,2017,158,24.68354430379747,2.9536708860759493,sp
2018-fa,461,Computer Security I,13,46,27,20,32,12,10,5,3,0,0,0,2,"Cunningham, Ryan M",2018,170,34.705882352941174,3.341411764705882,fa
2018-sp,461,Computer Security I,5,15,8,15,19,15,6,17,5,0,4,0,2,"Bailey, Michael D",2018,111,18.01801801801802,2.8530630630630633,sp
2016-fa,461,Computer Security I,15,24,11,14,42,9,7,23,3,0,8,0,3,,2016,159,24.528301886792452,2.9455345911949684,fa
2018-fa,465,User Interface Design,3,40,32,9,27,7,1,7,0,1,2,0,1,"Bailey, Brian P",2018,130,33.07692307692307,3.3750769230769224,fa
