Course Title,Number,Term,Year,GPA
Data Structures,225,fa,2015,3.0450850340136055
Data Structures,225,sp,2015,3.2442752293577986
Data Structures,225,fa,2016,3.2407417974322392
Data Structures,225,sp,2016,3.1431023622047243
Data Structures,225,fa,2017,3.053664772727273
Data Structures,225,sp,2017,3.0913153961136017
Data Structures,225,fa,2018,3.4170731707317064
Data Structures,225,sp,2018,3.1875288303130147
Computer Architecture,233,fa,2014,2.8174111675126903
Computer Architecture,233,fa,2015,2.910702875399361
Computer Architecture,233,sp,2015,2.7092971246006394
Computer Architecture,233,fa,2016,2.997379679144385
Computer Architecture,233,sp,2016,2.896388888888889
Computer Architecture,233,fa,2017,3.083106796116505
Computer Architecture,233,sp,2017,2.8051052631578943
Computer Architecture,233,fa,2018,3.1757879656160464
Computer Architecture,233,sp,2018,3.105022831050228
System Programming,241,fa,2010,2.414881889763779
System Programming,241,sp,2010,2.7184558823529414
System Programming,241,fa,2011,2.356101694915254
System Programming,241,sp,2011,2.3015555555555554
System Programming,241,fa,2012,2.2484967320261435
System Programming,241,sp,2012,2.448846153846154
System Programming,241,fa,2013,2.577790697674419
System Programming,241,sp,2013,2.496774193548387
System Programming,241,fa,2014,2.7231288343558284
System Programming,241,sp,2014,2.7223333333333333
System Programming,241,fa,2015,2.6916184971098267
System Programming,241,sp,2015,2.8034196891191714
System Programming,241,fa,2016,2.926258503401361
System Programming,241,sp,2016,2.7073170731707314
System Programming,241,fa,2017,2.6792638036809815
System Programming,241,sp,2017,2.5810122699386504
System Programming,241,fa,2018,2.660299625468165
System Programming,241,sp,2018,2.8177732793522265
Programming Studio,242,fa,2010,3.5685606060606063
Programming Studio,242,sp,2010,3.8220792079207926
Programming Studio,242,fa,2011,3.5762711864406787
Programming Studio,242,sp,2011,3.395102040816327
Programming Studio,242,fa,2012,3.755777777777778
Programming Studio,242,fa,2013,3.3245999999999993
Programming Studio,242,sp,2013,3.7496273291925464
Programming Studio,242,fa,2014,3.250170454545455
Programming Studio,242,sp,2014,3.5567613636363644
Programming Studio,242,fa,2015,3.396742857142857
Programming Studio,242,sp,2015,3.2803086419753082
Programming Studio,242,fa,2016,3.4096491228070174
Programming Studio,242,sp,2016,3.3660606060606053
Programming Studio,242,fa,2017,3.31103448275862
Programming Studio,242,sp,2017,3.3499999999999996
Programming Studio,242,fa,2018,3.3086854460093904
Programming Studio,242,sp,2018,3.216483516483517
Honors Course,296,fa,2012,3.8776666666666673
Honors Course,296,fa,2013,3.8028125
Honors Course,296,sp,2013,3.1643076923076925
Honors Course,296,fa,2014,3.359702970297029
Honors Course,296,sp,2014,3.698666666666667
Honors Course,296,fa,2015,3.77
Honors Course,296,sp,2015,3.4824468085106384
Honors Course,296,fa,2016,3.7694871794871796
Honors Course,296,sp,2016,3.7971264367816087
Honors Course,296,fa,2017,3.70828125
Honors Course,296,sp,2017,3.9408411214953274
Honors Course,296,fa,2018,3.825365853658536
Honors Course,296,sp,2018,3.436153846153846
Numerical Methods I,357,fa,2010,2.5606730769230768
Numerical Methods I,357,sp,2010,3.317945205479452
Numerical Methods I,357,fa,2011,3.129151515151515
Numerical Methods I,357,sp,2011,3.1524999999999994
Numerical Methods I,357,fa,2012,3.030227272727273
Numerical Methods I,357,fa,2013,3.2062903225806454
Numerical Methods I,357,sp,2013,3.462307692307693
Numerical Methods I,357,fa,2014,2.9731838565022417
Numerical Methods I,357,sp,2014,2.793131313131313
Numerical Methods I,357,fa,2015,3.1076262626262627
Numerical Methods I,357,sp,2015,2.9765757575757577
Numerical Methods I,357,fa,2016,3.1397233201581023
Numerical Methods I,357,sp,2016,2.6852747252747253
Numerical Methods I,357,fa,2017,3.0
Numerical Methods I,357,sp,2017,2.993856749311295
Numerical Methods I,357,fa,2018,3.101505102040816
Numerical Methods I,357,sp,2018,3.0545789473684213
Prob & Stat for Computer Sci,361,fa,2016,3.373333333333333
Prob & Stat for Computer Sci,361,fa,2017,3.505142857142857
Prob & Stat for Computer Sci,361,sp,2017,3.4123437500000002
Prob & Stat for Computer Sci,361,fa,2018,2.939740259740259
Prob & Stat for Computer Sci,361,sp,2018,3.1959999999999997
Theory of Computation,373,fa,2010,3.024437086092715
Theory of Computation,373,sp,2010,2.5745238095238094
Theory of Computation,373,fa,2011,2.636549295774648
Theory of Computation,373,sp,2011,2.873238095238096
Theory of Computation,373,fa,2012,3.2306432748538008
Theory of Computation,373,sp,2012,3.2051282051282053
Theory of Computation,373,fa,2013,3.1966666666666668
Theory of Computation,373,sp,2013,3.2269060773480667
Theory of Computation,373,sp,2014,2.8418881118881116
Intro to Algs & Models of Comp,374,fa,2016,2.5036523929471035
Intro to Algs & Models of Comp,374,fa,2017,2.5554411764705884
Intro to Algs & Models of Comp,374,sp,2017,2.766397058823529
Intro to Algs & Models of Comp,374,fa,2018,2.69860310421286
Intro to Algs & Models of Comp,374,sp,2018,2.6555204460966544
Database Systems,411,fa,2010,3.2296
Database Systems,411,sp,2010,3.061018518518518
Database Systems,411,fa,2011,3.0973809523809526
Database Systems,411,sp,2011,3.13125
Database Systems,411,fa,2012,3.199042553191489
Database Systems,411,sp,2012,3.536785714285714
Database Systems,411,fa,2013,2.7585051546391743
Database Systems,411,sp,2013,3.5827868852459015
Database Systems,411,fa,2014,3.2232124352331613
Database Systems,411,sp,2014,3.5644615384615386
Database Systems,411,fa,2015,3.533247422680412
Database Systems,411,sp,2015,3.1446700507614214
Database Systems,411,fa,2016,2.9605825242718447
Database Systems,411,sp,2016,3.4722631578947367
Database Systems,411,fa,2017,2.6530281690140844
Database Systems,411,sp,2017,3.5036458333333336
Database Systems,411,fa,2018,3.5575897435897437
Database Systems,411,sp,2018,3.3840225563909767
Introduction to Data Mining,412,fa,2010,3.273617021276596
Introduction to Data Mining,412,fa,2011,3.5505833333333334
Introduction to Data Mining,412,fa,2012,3.4117721518987336
Introduction to Data Mining,412,fa,2013,3.313679653679654
Introduction to Data Mining,412,fa,2014,3.0583908045977
Introduction to Data Mining,412,fa,2015,2.8161956521739127
Introduction to Data Mining,412,fa,2016,3.207564766839378
Introduction to Data Mining,412,sp,2016,3.2644444444444445
Introduction to Data Mining,412,fa,2017,3.0450837988826818
Introduction to Data Mining,412,sp,2017,3.6395854922279796
Introduction to Data Mining,412,fa,2018,3.5171875
Introduction to Data Mining,412,sp,2018,3.297206477732794
Interactive Computer Graphics,418,fa,2010,3.436122448979592
Interactive Computer Graphics,418,sp,2010,3.5959574468085105
Interactive Computer Graphics,418,fa,2011,3.3207999999999998
Interactive Computer Graphics,418,sp,2011,3.4063636363636363
Interactive Computer Graphics,418,fa,2012,3.1624999999999996
Interactive Computer Graphics,418,fa,2013,3.287471264367816
Interactive Computer Graphics,418,sp,2013,3.3577551020408167
Interactive Computer Graphics,418,fa,2014,3.4268382352941176
Interactive Computer Graphics,418,sp,2014,3.4361797752808987
Interactive Computer Graphics,418,fa,2015,3.2104242424242426
Interactive Computer Graphics,418,sp,2015,3.2750588235294122
Interactive Computer Graphics,418,fa,2016,2.9509876543209876
Interactive Computer Graphics,418,sp,2016,3.5537724550898213
Interactive Computer Graphics,418,fa,2017,3.233076923076923
Interactive Computer Graphics,418,sp,2017,2.8533128834355828
Interactive Computer Graphics,418,fa,2018,3.441616161616162
Interactive Computer Graphics,418,sp,2018,2.9448333333333334
Progrmg Languages & Compilers,421,fa,2010,3.0698901098901095
Progrmg Languages & Compilers,421,sp,2010,3.129
Progrmg Languages & Compilers,421,fa,2011,3.131538461538462
Progrmg Languages & Compilers,421,sp,2011,3.039485294117647
Progrmg Languages & Compilers,421,fa,2012,3.050869565217391
Progrmg Languages & Compilers,421,sp,2012,2.6833333333333336
Progrmg Languages & Compilers,421,fa,2013,3.054146341463415
Progrmg Languages & Compilers,421,sp,2013,3.191066666666667
Progrmg Languages & Compilers,421,fa,2014,3.162233009708738
Progrmg Languages & Compilers,421,sp,2014,3.03927374301676
Progrmg Languages & Compilers,421,sp,2015,3.3918072289156624
Progrmg Languages & Compilers,421,fa,2016,3.2051479289940827
Progrmg Languages & Compilers,421,sp,2016,3.53293172690763
